,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),VaR 95% (%),Beta
BAJAJFINSV,36.59,34.29,0.89,1.24,-58.59,-2.9,1.17
BRITANNIA,29.73,32.35,0.73,0.81,-69.02,-2.29,0.7
BAJFINANCE,41.57,49.9,0.71,0.68,-93.28,-3.42,1.36
SHREECEM,27.1,29.83,0.71,1.14,-36.9,-2.77,0.92
HINDUNILVR,20.7,24.53,0.6,1.03,-25.1,-2.13,0.59
ADANIPORTS,28.53,38.27,0.59,0.86,-53.69,-3.34,1.22
TITAN,25.55,33.77,0.58,0.84,-41.73,-2.88,0.94
MARUTI,22.24,29.64,0.55,0.79,-59.2,-2.56,1.1
NESTLEIND,17.89,24.64,0.48,0.77,-32.4,-2.14,0.53
ULTRACEMCO,17.94,28.95,0.41,0.63,-37.66,-2.73,1.09
HDFC,18.32,29.86,0.41,0.59,-39.83,-2.72,1.09
HINDALCO,22.26,41.36,0.39,0.61,-69.24,-3.87,1.55
DRREDDY,16.84,28.11,0.39,0.55,-56.46,-2.56,0.53
KOTAKBANK,18.99,33.32,0.39,0.41,-58.45,-2.55,1.01
EICHERMOT,23.01,46.33,0.37,0.35,-93.82,-3.1,1.07
JSWSTEEL,22.88,48.13,0.35,0.33,-92.45,-3.38,1.43
RELIANCE,17.39,33.78,0.34,0.37,-52.68,-2.56,0.99
INDUSINDBK,20.18,42.41,0.33,0.45,-85.11,-3.4,1.45
TATASTEEL,18.78,38.25,0.33,0.51,-67.61,-3.71,1.42
CIPLA,14.34,27.3,0.31,0.49,-49.34,-2.42,0.65
TCS,15.59,30.66,0.31,0.32,-54.59,-2.41,0.52
HDFCBANK,14.81,29.31,0.3,0.3,-69.23,-1.98,0.93
BAJAJ-AUTO,12.17,26.08,0.24,0.35,-43.29,-2.32,0.85
ASIANPAINT,15.35,41.13,0.23,0.2,-92.48,-2.41,0.96
BHARTIARTL,13.26,33.26,0.22,0.36,-47.47,-3.04,0.85
HCLTECH,13.58,37.86,0.2,0.19,-80.36,-2.68,0.68
POWERGRID,10.6,24.52,0.19,0.27,-36.2,-2.31,0.66
BPCL,12.96,42.83,0.16,0.18,-77.31,-3.27,1.24
TECHM,12.49,39.64,0.16,0.15,-87.12,-2.68,0.76
WIPRO,9.96,32.62,0.12,0.12,-75.86,-2.4,0.56
AXISBANK,10.41,46.31,0.1,0.09,-85.02,-3.27,1.5
HEROMOTOCO,8.77,28.68,0.1,0.15,-61.63,-2.61,0.92
TATAMOTORS,10.22,42.74,0.1,0.15,-89.2,-3.87,1.48
ZEEL,9.26,43.23,0.08,0.1,-80.58,-3.7,1.1
ICICIBANK,9.0,44.74,0.07,0.07,-89.8,-3.23,1.44
SUNPHARMA,6.43,35.99,0.01,0.01,-72.25,-2.83,0.76
M&M,5.12,35.66,-0.02,-0.03,-82.72,-2.85,1.1
INFY,4.36,41.42,-0.04,-0.03,-87.94,-2.32,0.67
GRASIM,3.86,41.42,-0.05,-0.05,-92.43,-2.64,1.19
LT,3.5,33.21,-0.08,-0.09,-62.27,-2.58,1.14
SBIN,1.51,47.55,-0.09,-0.09,-94.88,-3.29,1.4
IOC,-2.35,41.35,-0.2,-0.2,-89.0,-3.09,1.03
ITC,0.39,28.53,-0.2,-0.23,-63.16,-2.43,0.69
GAIL,-2.36,39.15,-0.21,-0.23,-86.88,-3.03,0.99
ONGC,-3.87,36.56,-0.27,-0.34,-87.11,-3.16,1.18
NTPC,-1.9,27.68,-0.29,-0.4,-59.0,-2.58,0.8
COALINDIA,-7.09,29.81,-0.44,-0.64,-75.07,-2.98,0.83
